team,n_played,points,gd,pos
Bryne,1,0,-3,-
Bryne,2,0,-4,-
Bryne,3,-,-,-
Bryne,4,-,-,-
Bryne,5,-,-,-
Bryne,6,-,-,-
Bryne,7,-,-,-
Bryne,8,-,-,-
Bryne,9,-,-,-
Bryne,10,-,-,-
Bryne,11,-,-,-
Bryne,12,-,-,-
Bryne,13,-,-,-
Bryne,14,-,-,-
Bryne,15,-,-,-
Bryne,16,-,-,-
Bryne,17,-,-,-
Bryne,18,-,-,-
Bryne,19,-,-,-
Bryne,20,-,-,-
Bryne,21,-,-,-
Bryne,22,-,-,-
Bryne,23,-,-,-
Bryne,24,-,-,-
Bryne,25,-,-,-
Bryne,26,-,-,-
Bryne,27,-,-,-
Bryne,28,-,-,-
Bryne,29,-,-,-
Bryne,30,-,-,-
Egersund,1,3,3,-
Egersund,2,-,-,-
Egersund,3,-,-,-
Egersund,4,-,-,-
Egersund,5,-,-,-
Egersund,6,-,-,-
Egersund,7,-,-,-
Egersund,8,-,-,-
Egersund,9,-,-,-
Egersund,10,-,-,-
Egersund,11,-,-,-
Egersund,12,-,-,-
Egersund,13,-,-,-
Egersund,14,-,-,-
Egersund,15,-,-,-
Egersund,16,-,-,-
Egersund,17,-,-,-
Egersund,18,-,-,-
Egersund,19,-,-,-
Egersund,20,-,-,-
Egersund,21,-,-,-
Egersund,22,-,-,-
Egersund,23,-,-,-
Egersund,24,-,-,-
Egersund,25,-,-,-
Egersund,26,-,-,-
Egersund,27,-,-,-
Egersund,28,-,-,-
Egersund,29,-,-,-
Egersund,30,-,-,-
Haugesund,1,3,2,-
Haugesund,2,6,4,-
Haugesund,3,-,-,-
Haugesund,4,-,-,-
Haugesund,5,-,-,-
Haugesund,6,-,-,-
Haugesund,7,-,-,-
Haugesund,8,-,-,-
Haugesund,9,-,-,-
Haugesund,10,-,-,-
Haugesund,11,-,-,-
Haugesund,12,-,-,-
Haugesund,13,-,-,-
Haugesund,14,-,-,-
Haugesund,15,-,-,-
Haugesund,16,-,-,-
Haugesund,17,-,-,-
Haugesund,18,-,-,-
Haugesund,19,-,-,-
Haugesund,20,-,-,-
Haugesund,21,-,-,-
Haugesund,22,-,-,-
Haugesund,23,-,-,-
Haugesund,24,-,-,-
Haugesund,25,-,-,-
Haugesund,26,-,-,-
Haugesund,27,-,-,-
Haugesund,28,-,-,-
Haugesund,29,-,-,-
Haugesund,30,-,-,-
Hødd,1,3,1,-
Hødd,2,3,0,-
Hødd,3,-,-,-
Hødd,4,-,-,-
Hødd,5,-,-,-
Hødd,6,-,-,-
Hødd,7,-,-,-
Hødd,8,-,-,-
Hødd,9,-,-,-
Hødd,10,-,-,-
Hødd,11,-,-,-
Hødd,12,-,-,-
Hødd,13,-,-,-
Hødd,14,-,-,-
Hødd,15,-,-,-
Hødd,16,-,-,-
Hødd,17,-,-,-
Hødd,18,-,-,-
Hødd,19,-,-,-
Hødd,20,-,-,-
Hødd,21,-,-,-
Hødd,22,-,-,-
Hødd,23,-,-,-
Hødd,24,-,-,-
Hødd,25,-,-,-
Hødd,26,-,-,-
Hødd,27,-,-,-
Hødd,28,-,-,-
Hødd,29,-,-,-
Hødd,30,-,-,-
Kongsvinger,1,3,3,-
Kongsvinger,2,-,-,-
Kongsvinger,3,-,-,-
Kongsvinger,4,-,-,-
Kongsvinger,5,-,-,-
Kongsvinger,6,-,-,-
Kongsvinger,7,-,-,-
Kongsvinger,8,-,-,-
Kongsvinger,9,-,-,-
Kongsvinger,10,-,-,-
Kongsvinger,11,-,-,-
Kongsvinger,12,-,-,-
Kongsvinger,13,-,-,-
Kongsvinger,14,-,-,-
Kongsvinger,15,-,-,-
Kongsvinger,16,-,-,-
Kongsvinger,17,-,-,-
Kongsvinger,18,-,-,-
Kongsvinger,19,-,-,-
Kongsvinger,20,-,-,-
Kongsvinger,21,-,-,-
Kongsvinger,22,-,-,-
Kongsvinger,23,-,-,-
Kongsvinger,24,-,-,-
Kongsvinger,25,-,-,-
Kongsvinger,26,-,-,-
Kongsvinger,27,-,-,-
Kongsvinger,28,-,-,-
Kongsvinger,29,-,-,-
Kongsvinger,30,-,-,-
Lyn,1,0,-2,-
Lyn,2,3,1,-
Lyn,3,-,-,-
Lyn,4,-,-,-
Lyn,5,-,-,-
Lyn,6,-,-,-
Lyn,7,-,-,-
Lyn,8,-,-,-
Lyn,9,-,-,-
Lyn,10,-,-,-
Lyn,11,-,-,-
Lyn,12,-,-,-
Lyn,13,-,-,-
Lyn,14,-,-,-
Lyn,15,-,-,-
Lyn,16,-,-,-
Lyn,17,-,-,-
Lyn,18,-,-,-
Lyn,19,-,-,-
Lyn,20,-,-,-
Lyn,21,-,-,-
Lyn,22,-,-,-
Lyn,23,-,-,-
Lyn,24,-,-,-
Lyn,25,-,-,-
Lyn,26,-,-,-
Lyn,27,-,-,-
Lyn,28,-,-,-
Lyn,29,-,-,-
Lyn,30,-,-,-
Moss,1,3,1,-
Moss,2,6,2,-
Moss,3,-,-,-
Moss,4,-,-,-
Moss,5,-,-,-
Moss,6,-,-,-
Moss,7,-,-,-
Moss,8,-,-,-
Moss,9,-,-,-
Moss,10,-,-,-
Moss,11,-,-,-
Moss,12,-,-,-
Moss,13,-,-,-
Moss,14,-,-,-
Moss,15,-,-,-
Moss,16,-,-,-
Moss,17,-,-,-
Moss,18,-,-,-
Moss,19,-,-,-
Moss,20,-,-,-
Moss,21,-,-,-
Moss,22,-,-,-
Moss,23,-,-,-
Moss,24,-,-,-
Moss,25,-,-,-
Moss,26,-,-,-
Moss,27,-,-,-
Moss,28,-,-,-
Moss,29,-,-,-
Moss,30,-,-,-
Odd,1,3,4,-
Odd,2,6,6,-
Odd,3,-,-,-
Odd,4,-,-,-
Odd,5,-,-,-
Odd,6,-,-,-
Odd,7,-,-,-
Odd,8,-,-,-
Odd,9,-,-,-
Odd,10,-,-,-
Odd,11,-,-,-
Odd,12,-,-,-
Odd,13,-,-,-
Odd,14,-,-,-
Odd,15,-,-,-
Odd,16,-,-,-
Odd,17,-,-,-
Odd,18,-,-,-
Odd,19,-,-,-
Odd,20,-,-,-
Odd,21,-,-,-
Odd,22,-,-,-
Odd,23,-,-,-
Odd,24,-,-,-
Odd,25,-,-,-
Odd,26,-,-,-
Odd,27,-,-,-
Odd,28,-,-,-
Odd,29,-,-,-
Odd,30,-,-,-
Ranheim,1,3,1,-
Ranheim,2,-,-,-
Ranheim,3,-,-,-
Ranheim,4,-,-,-
Ranheim,5,-,-,-
Ranheim,6,-,-,-
Ranheim,7,-,-,-
Ranheim,8,-,-,-
Ranheim,9,-,-,-
Ranheim,10,-,-,-
Ranheim,11,-,-,-
Ranheim,12,-,-,-
Ranheim,13,-,-,-
Ranheim,14,-,-,-
Ranheim,15,-,-,-
Ranheim,16,-,-,-
Ranheim,17,-,-,-
Ranheim,18,-,-,-
Ranheim,19,-,-,-
Ranheim,20,-,-,-
Ranheim,21,-,-,-
Ranheim,22,-,-,-
Ranheim,23,-,-,-
Ranheim,24,-,-,-
Ranheim,25,-,-,-
Ranheim,26,-,-,-
Ranheim,27,-,-,-
Ranheim,28,-,-,-
Ranheim,29,-,-,-
Ranheim,30,-,-,-
Raufoss,1,-,-,-
Raufoss,2,-,-,-
Raufoss,3,-,-,-
Raufoss,4,-,-,-
Raufoss,5,-,-,-
Raufoss,6,-,-,-
Raufoss,7,-,-,-
Raufoss,8,-,-,-
Raufoss,9,-,-,-
Raufoss,10,-,-,-
Raufoss,11,-,-,-
Raufoss,12,-,-,-
Raufoss,13,-,-,-
Raufoss,14,-,-,-
Raufoss,15,-,-,-
Raufoss,16,-,-,-
Raufoss,17,-,-,-
Raufoss,18,-,-,-
Raufoss,19,-,-,-
Raufoss,20,-,-,-
Raufoss,21,-,-,-
Raufoss,22,-,-,-
Raufoss,23,-,-,-
Raufoss,24,-,-,-
Raufoss,25,-,-,-
Raufoss,26,-,-,-
Raufoss,27,-,-,-
Raufoss,28,-,-,-
Raufoss,29,-,-,-
Raufoss,30,-,-,-
Sandnes,1,0,-1,-
Sandnes,2,0,-3,-
Sandnes,3,-,-,-
Sandnes,4,-,-,-
Sandnes,5,-,-,-
Sandnes,6,-,-,-
Sandnes,7,-,-,-
Sandnes,8,-,-,-
Sandnes,9,-,-,-
Sandnes,10,-,-,-
Sandnes,11,-,-,-
Sandnes,12,-,-,-
Sandnes,13,-,-,-
Sandnes,14,-,-,-
Sandnes,15,-,-,-
Sandnes,16,-,-,-
Sandnes,17,-,-,-
Sandnes,18,-,-,-
Sandnes,19,-,-,-
Sandnes,20,-,-,-
Sandnes,21,-,-,-
Sandnes,22,-,-,-
Sandnes,23,-,-,-
Sandnes,24,-,-,-
Sandnes,25,-,-,-
Sandnes,26,-,-,-
Sandnes,27,-,-,-
Sandnes,28,-,-,-
Sandnes,29,-,-,-
Sandnes,30,-,-,-
Sogndal,1,0,-4,-
Sogndal,2,0,-7,-
Sogndal,3,-,-,-
Sogndal,4,-,-,-
Sogndal,5,-,-,-
Sogndal,6,-,-,-
Sogndal,7,-,-,-
Sogndal,8,-,-,-
Sogndal,9,-,-,-
Sogndal,10,-,-,-
Sogndal,11,-,-,-
Sogndal,12,-,-,-
Sogndal,13,-,-,-
Sogndal,14,-,-,-
Sogndal,15,-,-,-
Sogndal,16,-,-,-
Sogndal,17,-,-,-
Sogndal,18,-,-,-
Sogndal,19,-,-,-
Sogndal,20,-,-,-
Sogndal,21,-,-,-
Sogndal,22,-,-,-
Sogndal,23,-,-,-
Sogndal,24,-,-,-
Sogndal,25,-,-,-
Sogndal,26,-,-,-
Sogndal,27,-,-,-
Sogndal,28,-,-,-
Sogndal,29,-,-,-
Sogndal,30,-,-,-
Stabæk,1,0,-1,-
Stabæk,2,3,3,-
Stabæk,3,-,-,-
Stabæk,4,-,-,-
Stabæk,5,-,-,-
Stabæk,6,-,-,-
Stabæk,7,-,-,-
Stabæk,8,-,-,-
Stabæk,9,-,-,-
Stabæk,10,-,-,-
Stabæk,11,-,-,-
Stabæk,12,-,-,-
Stabæk,13,-,-,-
Stabæk,14,-,-,-
Stabæk,15,-,-,-
Stabæk,16,-,-,-
Stabæk,17,-,-,-
Stabæk,18,-,-,-
Stabæk,19,-,-,-
Stabæk,20,-,-,-
Stabæk,21,-,-,-
Stabæk,22,-,-,-
Stabæk,23,-,-,-
Stabæk,24,-,-,-
Stabæk,25,-,-,-
Stabæk,26,-,-,-
Stabæk,27,-,-,-
Stabæk,28,-,-,-
Stabæk,29,-,-,-
Stabæk,30,-,-,-
Strømmen,1,0,-3,-
Strømmen,2,-,-,-
Strømmen,3,-,-,-
Strømmen,4,-,-,-
Strømmen,5,-,-,-
Strømmen,6,-,-,-
Strømmen,7,-,-,-
Strømmen,8,-,-,-
Strømmen,9,-,-,-
Strømmen,10,-,-,-
Strømmen,11,-,-,-
Strømmen,12,-,-,-
Strømmen,13,-,-,-
Strømmen,14,-,-,-
Strømmen,15,-,-,-
Strømmen,16,-,-,-
Strømmen,17,-,-,-
Strømmen,18,-,-,-
Strømmen,19,-,-,-
Strømmen,20,-,-,-
Strømmen,21,-,-,-
Strømmen,22,-,-,-
Strømmen,23,-,-,-
Strømmen,24,-,-,-
Strømmen,25,-,-,-
Strømmen,26,-,-,-
Strømmen,27,-,-,-
Strømmen,28,-,-,-
Strømmen,29,-,-,-
Strømmen,30,-,-,-
Strømsgodset,1,3,1,-
Strømsgodset,2,3,-1,-
Strømsgodset,3,-,-,-
Strømsgodset,4,-,-,-
Strømsgodset,5,-,-,-
Strømsgodset,6,-,-,-
Strømsgodset,7,-,-,-
Strømsgodset,8,-,-,-
Strømsgodset,9,-,-,-
Strømsgodset,10,-,-,-
Strømsgodset,11,-,-,-
Strømsgodset,12,-,-,-
Strømsgodset,13,-,-,-
Strømsgodset,14,-,-,-
Strømsgodset,15,-,-,-
Strømsgodset,16,-,-,-
Strømsgodset,17,-,-,-
Strømsgodset,18,-,-,-
Strømsgodset,19,-,-,-
Strømsgodset,20,-,-,-
Strømsgodset,21,-,-,-
Strømsgodset,22,-,-,-
Strømsgodset,23,-,-,-
Strømsgodset,24,-,-,-
Strømsgodset,25,-,-,-
Strømsgodset,26,-,-,-
Strømsgodset,27,-,-,-
Strømsgodset,28,-,-,-
Strømsgodset,29,-,-,-
Strømsgodset,30,-,-,-
Åsane,1,-1,-1,-
Åsane,2,-1,-5,-
Åsane,3,-,-,-
Åsane,4,-,-,-
Åsane,5,-,-,-
Åsane,6,-,-,-
Åsane,7,-,-,-
Åsane,8,-,-,-
Åsane,9,-,-,-
Åsane,10,-,-,-
Åsane,11,-,-,-
Åsane,12,-,-,-
Åsane,13,-,-,-
Åsane,14,-,-,-
Åsane,15,-,-,-
Åsane,16,-,-,-
Åsane,17,-,-,-
Åsane,18,-,-,-
Åsane,19,-,-,-
Åsane,20,-,-,-
Åsane,21,-,-,-
Åsane,22,-,-,-
Åsane,23,-,-,-
Åsane,24,-,-,-
Åsane,25,-,-,-
Åsane,26,-,-,-
Åsane,27,-,-,-
Åsane,28,-,-,-
Åsane,29,-,-,-
Åsane,30,-,-,-
