team,n_played,points,gd,pos
Mjøndalen,11,7,-14,15
Mjøndalen,12,7,-17,15
Mjøndalen,13,7,-19,16
Mjøndalen,14,8,-19,16
Mjøndalen,15,11,-17,15
Mjøndalen,16,-,-,-
Mjøndalen,17,-,-,-
Mjøndalen,18,-,-,-
Mjøndalen,19,-,-,-
Mjøndalen,20,-,-,-
Mjøndalen,21,-,-,-
Mjøndalen,22,-,-,-
Mjøndalen,23,-,-,-
Mjøndalen,24,-,-,-
Mjøndalen,25,-,-,-
Mjøndalen,26,-,-,-
Mjøndalen,27,-,-,-
Mjøndalen,28,-,-,-
Mjøndalen,29,-,-,-
Mjøndalen,30,-,-,-
Moss,1,0,-1,13
Moss,2,3,1,9
Moss,3,3,-5,12
Moss,4,6,-3,9
Moss,5,6,-6,12
Moss,6,9,-4,10
Moss,7,9,-6,12
Moss,8,12,-5,9
Moss,9,12,-8,12
Moss,10,13,-8,12
Moss,11,16,-6,9
Moss,12,16,-7,11
Moss,13,16,-9,12
Moss,14,16,-11,13
Moss,15,19,-9,10
Moss,16,-,-,-
Moss,17,-,-,-
Moss,18,-,-,-
Moss,19,-,-,-
Moss,20,-,-,-
Moss,21,-,-,-
Moss,22,-,-,-
Moss,23,-,-,-
Moss,24,-,-,-
Moss,25,-,-,-
Moss,26,-,-,-
Moss,27,-,-,-
Moss,28,-,-,-
Moss,29,-,-,-
Moss,30,-,-,-
Ranheim,1,0,-3,16
Ranheim,2,0,-5,16
Ranheim,3,0,-6,16
Ranheim,4,3,-5,13
Ranheim,5,6,-4,11
Ranheim,6,9,-1,9
Ranheim,7,10,-1,9
Ranheim,8,10,-2,12
Ranheim,9,13,-1,9
Ranheim,10,16,0,7
Ranheim,11,16,-1,8
Ranheim,12,16,-5,10
Ranheim,13,19,-4,8
Ranheim,14,22,-2,5
Ranheim,15,23,-2,5
Ranheim,16,-,-,-
Ranheim,17,-,-,-
Ranheim,18,-,-,-
Ranheim,19,-,-,-
Ranheim,20,-,-,-
Ranheim,21,-,-,-
Ranheim,22,-,-,-
Ranheim,23,-,-,-
Ranheim,24,-,-,-
Ranheim,25,-,-,-
Ranheim,26,-,-,-
Ranheim,27,-,-,-
Ranheim,28,-,-,-
Ranheim,29,-,-,-
Ranheim,30,-,-,-
Raufoss,1,3,1,4
Raufoss,2,4,1,7
Raufoss,3,7,2,4
Raufoss,4,7,1,5
Raufoss,5,7,-1,9
Raufoss,6,8,-1,11
Raufoss,7,9,-1,11
Raufoss,8,11,0,11
Raufoss,9,12,0,11
Raufoss,10,13,0,11
Raufoss,11,13,-1,11
Raufoss,12,16,4,8
Raufoss,13,17,4,10
Raufoss,14,18,4,10
Raufoss,15,18,3,11
Raufoss,16,-,-,-
Raufoss,17,-,-,-
Raufoss,18,-,-,-
Raufoss,19,-,-,-
Raufoss,20,-,-,-
Raufoss,21,-,-,-
Raufoss,22,-,-,-
Raufoss,23,-,-,-
Raufoss,24,-,-,-
Raufoss,25,-,-,-
Raufoss,26,-,-,-
Raufoss,27,-,-,-
Raufoss,28,-,-,-
Raufoss,29,-,-,-
Raufoss,30,-,-,-
Skeid,1,0,-1,14
Skeid,2,0,-3,15
Skeid,3,0,-4,15
Skeid,4,0,-7,16
Skeid,5,0,-8,16
Skeid,6,1,-8,16
Skeid,7,2,-8,15
Skeid,8,2,-9,15
Skeid,9,3,-9,16
Skeid,10,3,-10,16
Skeid,11,3,-13,16
Skeid,12,6,-10,16
Skeid,13,7,-10,15
Skeid,14,8,-10,15
Skeid,15,9,-10,16
Skeid,16,-,-,-
Skeid,17,-,-,-
Skeid,18,-,-,-
Skeid,19,-,-,-
Skeid,20,-,-,-
Skeid,21,-,-,-
Skeid,22,-,-,-
Skeid,23,-,-,-
Skeid,24,-,-,-
Skeid,25,-,-,-
Skeid,26,-,-,-
Skeid,27,-,-,-
Skeid,28,-,-,-
Skeid,29,-,-,-
Skeid,30,-,-,-
Sogndal,1,0,-1,15
Sogndal,2,0,-2,14
Sogndal,3,3,-1,11
Sogndal,4,6,0,8
Sogndal,5,9,1,6
Sogndal,6,9,0,8
Sogndal,7,12,2,6
Sogndal,8,15,4,2
Sogndal,9,16,4,3
Sogndal,10,16,2,6
Sogndal,11,19,5,4
Sogndal,12,19,4,5
Sogndal,13,20,4,5
Sogndal,14,21,4,6
Sogndal,15,21,2,8
Sogndal,16,-,-,-
Sogndal,17,-,-,-
Sogndal,18,-,-,-
Sogndal,19,-,-,-
Sogndal,20,-,-,-
Sogndal,21,-,-,-
Sogndal,22,-,-,-
Sogndal,23,-,-,-
Sogndal,24,-,-,-
Sogndal,25,-,-,-
Sogndal,26,-,-,-
Sogndal,27,-,-,-
Sogndal,28,-,-,-
Sogndal,29,-,-,-
Sogndal,30,-,-,-
Start,1,3,1,5
Start,2,6,3,2
Start,3,6,2,5
Start,4,9,3,4
Start,5,9,2,5
Start,6,10,2,6
Start,7,13,3,4
Start,8,14,3,3
Start,9,17,6,2
Start,10,18,6,2
Start,11,21,7,2
Start,12,24,11,2
Start,13,25,11,2
Start,14,25,8,2
Start,15,28,11,2
Start,16,-,-,-
Start,17,-,-,-
Start,18,-,-,-
Start,19,-,-,-
Start,20,-,-,-
Start,21,-,-,-
Start,22,-,-,-
Start,23,-,-,-
Start,24,-,-,-
Start,25,-,-,-
Start,26,-,-,-
Start,27,-,-,-
Start,28,-,-,-
Start,29,-,-,-
Start,30,-,-,-
Odd,1,3,1,3
Odd,2,3,0,10
Odd,3,6,1,6
Odd,4,6,0,7
Odd,5,7,0,7
Odd,6,10,2,5
Odd,7,13,4,3
Odd,8,13,2,6
Odd,9,16,3,4
Odd,10,17,3,4
Odd,11,18,3,5
Odd,12,18,2,7
Odd,13,19,2,7
Odd,14,19,0,8
Odd,15,22,2,6
Odd,16,-,-,-
Odd,17,-,-,-
Odd,18,-,-,-
Odd,19,-,-,-
Odd,20,-,-,-
Odd,21,-,-,-
Odd,22,-,-,-
Odd,23,-,-,-
Odd,24,-,-,-
Odd,25,-,-,-
Odd,26,-,-,-
Odd,27,-,-,-
Odd,28,-,-,-
Odd,29,-,-,-
Odd,30,-,-,-
Åsane,1,1,0,11
Åsane,2,1,-2,13
Åsane,3,1,-3,14
Åsane,4,2,-3,15
Åsane,5,5,-2,13
Åsane,6,6,-2,13
Åsane,7,6,-4,13
Åsane,8,9,-3,13
Åsane,9,9,-4,13
Åsane,10,12,-3,13
Åsane,11,13,-3,13
Åsane,12,16,-2,9
Åsane,13,16,-3,11
Åsane,14,17,-3,12
Åsane,15,17,-5,13
Åsane,16,-,-,-
Åsane,17,-,-,-
Åsane,18,-,-,-
Åsane,19,-,-,-
Åsane,20,-,-,-
Åsane,21,-,-,-
Åsane,22,-,-,-
Åsane,23,-,-,-
Åsane,24,-,-,-
Åsane,25,-,-,-
Åsane,26,-,-,-
Åsane,27,-,-,-
Åsane,28,-,-,-
Åsane,29,-,-,-
Åsane,30,-,-,-
