team,n_played,points,gd,pos
Stabæk,1,1,0,10
Stabæk,2,4,1,4
Stabæk,3,7,3,2
Stabæk,4,8,3,2
Stabæk,5,11,8,1
Stabæk,6,12,8,2
Stabæk,7,13,8,2
Stabæk,8,13,5,4
Stabæk,9,13,4,8
Stabæk,10,16,5,7
Stabæk,11,-,-,-
Stabæk,12,-,-,-
Stabæk,13,-,-,-
Stabæk,14,-,-,-
Stabæk,15,-,-,-
Stabæk,16,-,-,-
Stabæk,17,-,-,-
Stabæk,18,-,-,-
Stabæk,19,-,-,-
Stabæk,20,-,-,-
Stabæk,21,-,-,-
Stabæk,22,-,-,-
Stabæk,23,-,-,-
Stabæk,24,-,-,-
Stabæk,25,-,-,-
Stabæk,26,-,-,-
Stabæk,27,-,-,-
Stabæk,28,-,-,-
Stabæk,29,-,-,-
Stabæk,30,-,-,-
Aalesund,1,1,0,5
Aalesund,2,4,2,2
Aalesund,3,4,-1,8
Aalesund,4,4,-3,14
Aalesund,5,4,-6,15
Aalesund,6,5,-6,15
Aalesund,7,5,-8,15
Aalesund,8,5,-10,16
Aalesund,9,5,-12,16
Aalesund,10,8,-9,16
Aalesund,11,8,-10,-
Aalesund,12,-,-,-
Aalesund,13,-,-,-
Aalesund,14,-,-,-
Aalesund,15,-,-,-
Aalesund,16,-,-,-
Aalesund,17,-,-,-
Aalesund,18,-,-,-
Aalesund,19,-,-,-
Aalesund,20,-,-,-
Aalesund,21,-,-,-
Aalesund,22,-,-,-
Aalesund,23,-,-,-
Aalesund,24,-,-,-
Aalesund,25,-,-,-
Aalesund,26,-,-,-
Aalesund,27,-,-,-
Aalesund,28,-,-,-
Aalesund,29,-,-,-
Aalesund,30,-,-,-
Bryne,1,3,2,2
Bryne,2,3,1,8
Bryne,3,3,0,10
Bryne,4,6,1,6
Bryne,5,9,2,4
Bryne,6,9,1,6
Bryne,7,12,2,4
Bryne,8,12,1,5
Bryne,9,15,3,4
Bryne,10,18,4,3
Bryne,11,18,2,-
Bryne,12,-,-,-
Bryne,13,-,-,-
