team,n_played,points,gd,pos
Mjøndalen,9,5,-14,14
Mjøndalen,10,6,-14,14
Mjøndalen,11,7,-14,15
Mjøndalen,12,7,-17,15
Mjøndalen,13,7,-19,16
Mjøndalen,14,8,-19,16
Mjøndalen,15,11,-17,15
Mjøndalen,16,11,-21,15
Mjøndalen,17,14,-20,15
Mjøndalen,18,14,-21,15
Mjøndalen,19,14,-22,15
Mjøndalen,20,15,-22,15
Mjøndalen,21,15,-24,15
Mjøndalen,22,15,-25,15
Mjøndalen,23,15,-28,15
Mjøndalen,24,18,-27,15
Mjøndalen,25,18,-33,15
Mjøndalen,26,18,-36,15
Mjøndalen,27,19,-36,15
Mjøndalen,28,22,-35,15
Mjøndalen,29,25,-34,15
Mjøndalen,30,25,-35,15
Moss,1,0,-1,13
Moss,2,3,1,9
Moss,3,3,-5,12
Moss,4,6,-3,9
Moss,5,6,-6,12
Moss,6,9,-4,10
Moss,7,9,-6,12
Moss,8,12,-5,9
Moss,9,12,-8,12
Moss,10,13,-8,12
Moss,11,16,-6,9
Moss,12,16,-7,11
Moss,13,16,-9,12
Moss,14,16,-11,13
Moss,15,19,-9,10
Moss,16,20,-9,11
Moss,17,21,-9,11
Moss,18,21,-10,12
Moss,19,22,-10,13
Moss,20,22,-12,13
Moss,21,25,-10,11
Moss,22,26,-10,10
Moss,23,26,-11,11
Moss,24,26,-15,12
Moss,25,26,-19,12
Moss,26,26,-21,13
Moss,27,26,-23,13
Moss,28,27,-23,14
Moss,29,27,-24,14
Moss,30,28,-24,14
Ranheim,1,0,-3,16
Ranheim,2,0,-5,16
Ranheim,3,0,-6,16
Ranheim,4,3,-5,13
Ranheim,5,6,-4,11
Ranheim,6,9,-1,9
Ranheim,7,10,-1,9
Ranheim,8,10,-2,12
Ranheim,9,13,-1,9
Ranheim,10,16,0,7
Ranheim,11,16,-1,8
Ranheim,12,16,-5,10
Ranheim,13,19,-4,8
Ranheim,14,22,-2,5
Ranheim,15,23,-2,5
Ranheim,16,26,-1,4
Ranheim,17,27,-1,4
Ranheim,18,27,-2,8
Ranheim,19,27,-8,8
Ranheim,20,28,-8,8
Ranheim,21,29,-8,8
Ranheim,22,32,-5,8
Ranheim,23,35,-4,7
Ranheim,24,38,-3,6
Ranheim,25,38,-7,7
Ranheim,26,39,-7,7
Ranheim,27,42,-4,7
Ranheim,28,42,-5,7
Ranheim,29,45,-3,7
Ranheim,30,48,0,6
Raufoss,1,3,1,4
Raufoss,2,4,1,7
Raufoss,3,7,2,4
Raufoss,4,7,1,5
Raufoss,5,7,-1,9
Raufoss,6,8,-1,11
Raufoss,7,9,-1,11
Raufoss,8,11,0,11
Raufoss,9,12,0,11
Raufoss,10,13,0,11
Raufoss,11,13,-1,11
Raufoss,12,16,4,8
Raufoss,13,17,4,10
Raufoss,14,18,4,10
Raufoss,15,18,3,11
Raufoss,16,18,0,12
Raufoss,17,19,0,12
Raufoss,18,22,1,9
Raufoss,19,22,-1,12
Raufoss,20,22,-2,12
Raufoss,21,25,0,9
Raufoss,22,25,-1,11
Raufoss,23,25,-4,12
Raufoss,24,25,-5,13
Raufoss,25,25,-9,14
Raufoss,26,25,-13,14
Raufoss,27,25,-15,14
Raufoss,28,28,-12,13
Raufoss,29,28,-13,13
Raufoss,30,29,-13,13
Skeid,1,0,-1,14
Skeid,2,0,-3,15
Skeid,3,0,-4,15
Skeid,4,0,-7,16
Skeid,5,0,-8,16
Skeid,6,1,-8,16
Skeid,7,2,-8,15
Skeid,8,2,-9,15
Skeid,9,3,-9,16
Skeid,10,3,-10,16
Skeid,11,3,-13,16
Skeid,12,6,-10,16
Skeid,13,7,-10,15
Skeid,14,8,-10,15
Skeid,15,9,-10,16
Skeid,16,10,-10,16
Skeid,17,10,-11,16
Skeid,18,10,-13,16
Skeid,19,11,-13,16
Skeid,20,11,-14,16
Skeid,21,11,-16,16
Skeid,22,12,-16,16
Skeid,23,12,-19,16
Skeid,24,12,-20,16
Skeid,25,12,-23,16
Skeid,26,12,-28,16
Skeid,27,12,-29,16
Skeid,28,12,-32,16
Skeid,29,12,-34,16
Skeid,30,15,-31,16
Sogndal,1,0,-1,15
Sogndal,2,0,-2,14
Sogndal,3,3,-1,11
Sogndal,4,6,0,8
Sogndal,5,9,1,6
Sogndal,6,9,0,8
Sogndal,7,12,2,6
Sogndal,8,15,4,2
Sogndal,9,16,4,3
Sogndal,10,16,2,6
Sogndal,11,19,5,4
Sogndal,12,19,4,5
Sogndal,13,20,4,5
Sogndal,14,21,4,6
Sogndal,15,21,2,8
Sogndal,16,22,2,7
Sogndal,17,25,3,5
Sogndal,18,28,4,4
Sogndal,19,31,5,4
Sogndal,20,34,7,3
Sogndal,21,35,7,3
Sogndal,22,35,3,6
Sogndal,23,35,2,6
Sogndal,24,36,2,7
Sogndal,25,36,0,8
Sogndal,26,37,0,8
Sogndal,27,40,2,8
Sogndal,28,40,1,8
Sogndal,29,43,4,8
Sogndal,30,43,1,8
Start,1,3,1,5
Start,2,6,3,2
Start,3,6,2,5
Start,4,9,3,4
Start,5,9,2,5
Start,6,10,2,6
Start,7,13,3,4
Start,8,14,3,3
Start,9,17,6,2
Start,10,18,6,2
Start,11,21,7,2
Start,12,24,11,2
Start,13,25,11,2
Start,14,25,8,2
Start,15,28,11,2
Start,16,31,15,2
Start,17,34,17,2
Start,18,37,19,2
Start,19,37,16,2
Start,20,40,18,2
Start,21,41,18,2
Start,22,41,17,2
Start,23,41,16,2
Start,24,41,14,2
Start,25,44,18,2
Start,26,45,18,3
Start,27,48,19,3
Start,28,49,19,3
Start,29,52,20,3
Start,30,55,23,2
Odd,1,3,1,3
Odd,2,3,0,10
Odd,3,6,1,6
Odd,4,6,0,7
Odd,5,7,0,7
Odd,6,10,2,5
Odd,7,13,4,3
Odd,8,13,2,6
Odd,9,16,3,4
Odd,10,17,3,4
Odd,11,18,3,5
Odd,12,18,2,7
Odd,13,19,2,7
Odd,14,19,0,8
