team,n_played,points,gd,pos
Stabæk,1,1,0,10
Stabæk,2,4,1,4
Stabæk,3,7,3,2
Stabæk,4,8,3,2
Stabæk,5,11,8,1
Stabæk,6,12,8,2
Stabæk,7,13,8,2
Stabæk,8,13,5,4
Stabæk,9,13,4,8
Stabæk,10,16,5,7
Stabæk,11,19,7,5
Stabæk,12,19,6,6
Stabæk,13,22,7,5
Stabæk,14,23,7,7
Stabæk,15,23,4,7
Stabæk,16,26,7,6
Stabæk,17,26,1,8
Stabæk,18,29,4,6
Stabæk,19,32,6,4
Stabæk,20,33,6,5
Stabæk,21,33,3,5
Stabæk,22,33,2,6
Stabæk,23,33,1,7
Stabæk,24,33,0,8
Stabæk,25,36,2,8
Stabæk,26,39,3,8
Stabæk,27,42,5,5
Stabæk,28,-,-,-
Stabæk,29,-,-,-
Stabæk,30,-,-,-
Aalesund,1,1,0,5
Aalesund,2,4,2,2
Aalesund,3,4,-1,8
Aalesund,4,4,-3,14
Aalesund,5,4,-6,15
Aalesund,6,5,-6,15
Aalesund,7,5,-8,15
Aalesund,8,5,-10,16
Aalesund,9,5,-12,16
Aalesund,10,8,-9,16
Aalesund,11,8,-10,16
Aalesund,12,9,-10,15
Aalesund,13,9,-14,15
Aalesund,14,9,-15,16
Aalesund,15,9,-16,16
Aalesund,16,12,-14,15
Aalesund,17,15,-13,14
Aalesund,18,18,-11,12
Aalesund,19,18,-13,14
Aalesund,20,18,-14,14
Aalesund,21,19,-14,15
Aalesund,22,22,-12,14
Aalesund,23,25,-8,13
Aalesund,24,25,-11,14
Aalesund,25,25,-12,14
Aalesund,26,28,-11,13
Aalesund,27,31,-9,12
Aalesund,28,-,-,-
Aalesund,29,-,-,-
Aalesund,30,-,-,-
Bryne,1,3,2,2
Bryne,2,3,1,8
Bryne,3,3,0,10
Bryne,4,6,1,6
Bryne,5,9,2,4
Bryne,6,9,1,6
Bryne,7,12,2,4
Bryne,8,12,1,5
Bryne,9,15,3,4
Bryne,10,18,4,3
Bryne,11,18,2,6
Bryne,12,21,3,4
